placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2024-12-18 00:00:00,2024-12-18 01:00:00,0
fukui-station-east-entrance,Person,2024-12-18 01:00:00,2024-12-18 02:00:00,0
fukui-station-east-entrance,Person,2024-12-18 02:00:00,2024-12-18 03:00:00,0
fukui-station-east-entrance,Person,2024-12-18 03:00:00,2024-12-18 04:00:00,0
fukui-station-east-entrance,Person,2024-12-18 04:00:00,2024-12-18 05:00:00,0
fukui-station-east-entrance,Person,2024-12-18 05:00:00,2024-12-18 06:00:00,18
fukui-station-east-entrance,Person,2024-12-18 06:00:00,2024-12-18 07:00:00,137
fukui-station-east-entrance,Person,2024-12-18 07:00:00,2024-12-18 08:00:00,245
fukui-station-east-entrance,Person,2024-12-18 08:00:00,2024-12-18 09:00:00,420
fukui-station-east-entrance,Person,2024-12-18 09:00:00,2024-12-18 10:00:00,792
fukui-station-east-entrance,Person,2024-12-18 10:00:00,2024-12-18 11:00:00,690
fukui-station-east-entrance,Person,2024-12-18 11:00:00,2024-12-18 12:00:00,565
fukui-station-east-entrance,Person,2024-12-18 12:00:00,2024-12-18 13:00:00,703
fukui-station-east-entrance,Person,2024-12-18 13:00:00,2024-12-18 14:00:00,711
fukui-station-east-entrance,Person,2024-12-18 14:00:00,2024-12-18 15:00:00,827
fukui-station-east-entrance,Person,2024-12-18 15:00:00,2024-12-18 16:00:00,846
fukui-station-east-entrance,Person,2024-12-18 16:00:00,2024-12-18 17:00:00,930
fukui-station-east-entrance,Person,2024-12-18 17:00:00,2024-12-18 18:00:00,893
fukui-station-east-entrance,Person,2024-12-18 18:00:00,2024-12-18 19:00:00,650
fukui-station-east-entrance,Person,2024-12-18 19:00:00,2024-12-18 20:00:00,205
fukui-station-east-entrance,Person,2024-12-18 20:00:00,2024-12-18 21:00:00,170
fukui-station-east-entrance,Person,2024-12-18 21:00:00,2024-12-18 22:00:00,121
fukui-station-east-entrance,Person,2024-12-18 22:00:00,2024-12-18 23:00:00,148
fukui-station-east-entrance,Person,2024-12-18 23:00:00,2024-12-19 00:00:00,6
